trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
209,False,"{'a': 0.5, 'e': 0.2825795462549444}",30,0,6.3172566401192,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.28088406897741475}",35,17,19.696129507859336,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.27919876456355025}",25,7,-54.28244330080836,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
212,False,"{'a': 0.5, 'e': 0.27752357197616895}",30,8,-38.11142710455325,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
213,False,"{'a': 0.5, 'e': 0.2758584305443119}",20,15,-4.44323806840404,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.27420327996104604}",25,15,10.517561920698387,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.27255806028127977}",25,13,-21.7624903931196,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.5, 'e': 0.2709227119195921}",25,19,8.91708208957166,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.26929717564807454}",20,12,-9.501246271951828,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.2676813925941861}",20,15,9.5727446282211,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.26607530423862097}",25,14,-4.157720718792836,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.26447885241318925}",30,18,18.414212898723648,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.2628919792987101}",20,5,-14.341767576024917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
222,False,"{'a': 0.5, 'e': 0.26131462742291783}",25,3,1.7480417966100754,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.25974673965838035}",20,15,10.516654960414707,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.25818825922043004}",20,0,12.01881279565494,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.2566391296651075}",35,16,6.9957041451659725,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.25509929488711686}",25,0,15.386059054170952,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
227,False,"{'a': 0.5, 'e': 0.2535686991177941}",25,0,-11.08914787992998,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.25204728692308737}",30,21,19.512916460022616,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.25053500320154887}",30,12,-65.37661680419771,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
230,False,"{'a': 0.5, 'e': 0.24903179318233953}",25,0,-6.193228441094119,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.24753760242324552}",20,0,-1.7880020933578156,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
232,False,"{'a': 0.5, 'e': 0.24605237680870604}",30,13,20.747026254295697,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.2445760625478538}",30,7,9.182406225975845,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
